text,label,clean_text,processed_text,text_length
Kunjungan Prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto,Sumber Daya Alam,kunjungan prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik     prabowo subianto,kunjungan prabowo meresmikan menyerahkan proyek bantuan air bersih titik prabowo subianto,89
RT Anies dapat tepuk tangan meriah saat jadi Rektor mewajibkan mata kuliah anti-korupsi untuk memutus mata rantai korupsi.. #AminMiskinkanKoruptor https://t.co/hgXsoQGaEa [RE ekowboy2],Politik,rt anies dapat tepuk tangan meriah saat jadi rektor mewajibkan mata kuliah antikorupsi untuk memutus mata rantai korupsi   ,rt anies tepuk tangan meriah rektor mewajibkan mata kuliah antikorupsi memutus mata rantai korupsi,98
"@CIqXqwGAT04tMtx4OCATxjoVq7vv/Y8HeYaIOgMFg8Y= emng bener sih, pendukung 01 ada yg goblok, begitu jg dg pendukung 02.. hnya sj menurut pak Ridwan Kamil skemanya terbalik, klo 01 MAYORITAS PENDIDIKAN MENENGAH ATAS (artinya ada jg pendidikan rendah yg milih",Demografi, emng bener sih pendukung  ada yg goblok begitu jg dg pendukung  hnya sj menurut pak ridwan kamil skemanya terbalik klo  mayoritas pendidikan menengah atas artinya ada jg pendidikan rendah yg milih,emng bener sih pendukung yg goblok jg dg pendukung hnya sj ridwan kamil skemanya terbalik klo mayoritas pendidikan menengah jg pendidikan rendah yg milih,153
"RT @L3R8XFBw3WGbxRPSj0/0hHZTbqVGX7qtfwRg9zmhK7Q= Sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua, giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras. Apakah ini tidak standar ganda? ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â­ [RE coldthem]",Politik,rt  sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras apakah ini tidak standar ganda  ,rt anies bersikap kritis kinerja prabowo dianggap engga sopan dianggap menghormati orang tua giliran skrg gibran yg tengil sok kritis dianggap kritis keras standar ganda,169
Anies Baswedan Harap ASN termasuk TNI dan Polri Pegang Sumpahnya dalam Pemilu https://t.co/QRQZ3wI8YP,Politik,anies baswedan harap asn termasuk tni dan polri pegang sumpahnya dalam pemilu ,anies baswedan harap asn tni polri pegang sumpahnya pemilu,58
"RT Duh jangan sampai Pak lurah denger nih ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â­ Di Acara Hajatan Rakyat, Puluhan Ribu Warga di Kendal Serukan ÃƒÂ¢Ã‚â‚¬Ã‚Å“Ganjar PresidenÃƒÂ¢Ã‚â‚¬Ã‚Â Kehadiran @0Zdeh9QcTWu+z+fS3hRaTcFuSLRh56REFyRLq4/Jdlc= menjadi magnet bagi puluhan ribu warga untuk datang menghadiri Hajatan Rakyat Ganjar-Mahfud. Besarnya antusiasme warga menjadi bukti bahwa Jawa Tengah tetap menjadi kandang banteng. #GanjarMahfud2024 #TabrakProfMahfud [RE DS_yantie]",Politik,rt duh jangan sampai pak lurah denger nih  di acara hajatan rakyat puluhan ribu warga di kendal serukan ganjar presiden kehadiran  menjadi magnet bagi puluhan ribu warga untuk datang menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga menjadi bukti bahwa jawa tengah tetap menjadi kandang banteng   ,rt duh lurah denger nih acara hajatan rakyat puluhan ribu warga kendal serukan ganjar presiden kehadiran magnet puluhan ribu warga menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga bukti jawa kandang banteng,222
Prabowo minta Kemenhan dan Tim Satgas Air Unhan kaji bantuan air di Sukabumi. dekade08 Prabowo - Gibran,Pertahanan dan Keamanan,prabowo minta kemenhan dan tim satgas air unhan kaji bantuan air di sukabumi dekade prabowo  gibran,prabowo kemenhan tim satgas air unhan kaji bantuan air sukabumi dekade prabowo gibran,85
RT Anies: Ya Allah Sibukkanlah Orang Zalim Agar Dapat Kejahatan dari Orang Zalim Lainnya https://t.co/1VK6BWKu2s [RE OposisiCerdas],Politik,rt anies ya allah sibukkanlah orang zalim agar dapat kejahatan dari orang zalim lainnya  ,rt anies ya allah sibukkanlah orang zalim kejahatan orang zalim,63
"RT Abah @znOMP7ZMVU9dMuMNA/cIazC9q5+hgwVkTsQNdQLKgTc= itu bapa kami, bapa yg berikan perhatian untuk pendidikan anak anak Papua jadi pintar pintar. Gerakan Indonesia mengajar tak bisa di lupakan sama warga Papua. Kami ingin bapa Anies jadi Presiden. https://t.co/FCdf6J1L3Z [RE LANGKAHANIES]",Politik,rt abah  itu bapa kami bapa yg berikan perhatian untuk pendidikan anak anak papua jadi pintar pintar gerakan indonesia mengajar tak bisa di lupakan sama warga papua kami ingin bapa anies jadi presiden  ,rt abah bapa bapa yg perhatian pendidikan anak anak papua pintar pintar gerakan indonesia mengajar lupakan warga papua bapa anies presiden,138
"RT Bawaslu dimaki ""JANCUK"" sama warga garaÃƒâ€šÃ‚Â² mencopot spanduk Ganjar Mahfud, sementara spanduk Capres lain tidak dicopot. Bawaslu rasa tim sukses. ÃƒÂ°Ã‚Å¸Ã‚ËœÃ‚Âª #AsalBukanPrabowo #OrdeBaruReborn https://t.co/AcubW2OFlq [RE 03__nakula]",Politik,rt bawaslu dimaki jancuk sama warga gara mencopot spanduk ganjar mahfud sementara spanduk capres lain tidak dicopot bawaslu rasa tim sukses     ,rt bawaslu dimaki jancuk warga gara mencopot spanduk ganjar mahfud spanduk capres dicopot bawaslu tim sukses,108
