text,label,clean_text,processed_text,text_length,lang
"RT Pak AniesÃƒÂ¢Ã‚â‚¬Ã‚â„¢s post has reached 26.000 likes and 1.350.573 on Dialog Capres w/ Kadin, tvOneNews Youtube in 1 Days 15 Hour 27 Minutes. ÃƒÂ¢Ã‚â‚¬Ã‚â€ It is the fastest and highest post to reach 26k likes and 1.3M likes among capresÃƒÂ¢Ã‚â‚¬Ã‚â„¢s members #ANIES #ÃƒÂ¬Ã‚â€¢Ã‚â€žÃƒÂ«Ã‚â€¹Ã‚Ë†ÃƒÂ¬Ã‚Å Ã‚Â¤ #AniesAtKadin https://t.co/skRZA4AWlp [RE aniesbubble]",Sosial Budaya,rt pak aniess post has reached  likes and  on dialog capres w kadin tvonenews youtube in  days  hour  minutes  it is the fastest and highest post to reach k likes and m likes among capress members     ,rt aniess post has reached likes and on dialog capres w kadin tvonenews youtube in days hour minutes it is the fastest and highest post to reach k likes and m likes among capress members,186,en
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense ,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,159,en
RT Gibran mocked Muhaimin for bringing (and reading) notes. What's the problem with having papers and data in your hand during a debate? Does he remember his partner got flamed by Ganjar just because he was well-prepared with a whole binder? [RE WAPamungkas],Politik,rt gibran mocked muhaimin for bringing and reading notes whats the problem with having papers and data in your hand during a debate does he remember his partner got flamed by ganjar just because he was wellprepared with a whole binder ,rt gibran mocked muhaimin for bringing and reading notes whats the problem with having papers and data in your hand during a debate does he remember his partner got flamed by ganjar just because he was wellprepared with a whole binder,234,en
"RT Politics aside, this is how adults should treat children. Kneel so you meet their eye level. Show them equal respect. Kudos to pak Anies for having this kind of sensitivity to children. https://t.co/dkyFbpAoxV [RE margianta]",Sosial Budaya,rt politics aside this is how adults should treat children kneel so you meet their eye level show them equal respect kudos to pak anies for having this kind of sensitivity to children  ,rt politics aside this is how adults should treat children kneel so you meet their eye level show them equal respect kudos to anies for having this kind of sensitivity to children,179,en
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense ,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,159,en
"RT This whole videotron fiasco reveals one thing: It's not only Anies who deserves better. We too deserve much better leaders. If an ad can be taken down despite the contract and everything, what fate will wait for journalists, activists, and critics? [RE DevinaYo]",Politik,rt this whole videotron fiasco reveals one thing its not only anies who deserves better we too deserve much better leaders if an ad can be taken down despite the contract and everything what fate will wait for journalists activists and critics ,rt this whole videotron fiasco reveals one thing its not only anies who deserves better we too deserve much better leaders if an ad can be taken down despite the contract and everything what fate will wait for journalists activists and critics,243,en
"RT This is real, Prabowo said it multiple times that what happens in Gaza is because of lack of defences resources in Gaza. After all of the huge protests in Indonesia on Palestine liberation, and decolonisation?? How could you? [RE maidina__]",Pertahanan dan Keamanan,rt this is real prabowo said it multiple times that what happens in gaza is because of lack of defences resources in gaza after all of the huge protests in indonesia on palestine liberation and decolonisation how could you ,rt this is real prabowo said it multiple times that what happens in gaza is because of lack of defences resources in gaza after all of the huge protests in indonesia on palestine liberation and decolonisation how could you,222,en
"RT #JejakAnies September 2019, Anies membawa 5.200 anakÃƒâ€šÃ‚Â² yatim piatu dan dhuafa liburan di Ragunan dan Dufan, Ancol. People as good as this, should not be allowed to lose and fight alone!!! ------ ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â¡ https://t.co/ptAGkySy3O [RE PerempuanKujira]",Sosial Budaya,rt  september  anies membawa  anak yatim piatu dan dhuafa liburan di ragunan dan dufan ancol people as good as this should not be allowed to lose and fight alone    ,rt september anies membawa anak yatim piatu dhuafa liburan ragunan dufan ancol people as good as this should not be allowed to lose and fight alone,147,en
"RT CSIS: Prabowo Totally Lost, Hanya Fokus Pukul Balik Anies #newsupdate #update #news #text https://t.co/mMSjqq1FLg [RE kumparan]",Politik,rt csis prabowo totally lost hanya fokus pukul balik anies      ,rt csis prabowo totally lost fokus anies,40,en
Prabowo saking jeleknya bikin saya quite ok with Giovanni GentileÃƒÂ¢Ã‚â‚¬Ã‚â„¢s concept of the revival of idealismÃƒÂ¢Ã‚â‚¬Ã‚Â¦(for tonight at least),Ideologi,prabowo saking jeleknya bikin saya quite ok with giovanni gentiles concept of the revival of idealismfor tonight at least,prabowo saking jeleknya bikin quite ok with giovanni gentiles concept of the revival of idealismfor tonight at least,116,en
