text,label,clean_text,processed_text,text_length,lang
"@XT1hPQNec0kzDHT35gZNnam8kiwbGKsGI3CqHm+fDKA= ayo dukung no urut 3, Ganjar - Mahfud optimis m3nang @vpYu7/36CGHCLFPWftarC9g9YMtiCEyHDjo5Dy+X6Fk= sikaaatt #GanjarSikatKorupsi",Politik, ayo dukung no urut  ganjar  mahfud optimis mnang  sikaaatt ,ayo dukung no urut ganjar mahfud optimis mnang sikaaatt,55,tl
RT ga percaya tuhan tapi percaya prabowo. ngomong ÃƒÂ¢Ã‚â‚¬Ã‚Å“humanity above religionÃƒÂ¢Ã‚â‚¬Ã‚Â tapi dukung penjahat HAM. [RE rendeyyy],Ideologi,rt ga percaya tuhan tapi percaya prabowo ngomong humanity above religion tapi dukung penjahat ham ,rt ga percaya tuhan percaya prabowo ngomong humanity above religion dukung penjahat ham,87,tl
RT Mantan Pimpinan KPK: Anies Capres Paling Minim Risiko Korupsi https://t.co/Xc2hSnfKnU [RE geloraco],Politik,rt mantan pimpinan kpk anies capres paling minim risiko korupsi  ,rt mantan pimpinan kpk anies capres minim risiko korupsi,56,tl
RT Ga afdol rasanya kalo nonton Desak Anies ga bawa uchiwanya ÃƒÂ°Ã‚Å¸Ã‚â€¢Ã‚ÂºÃƒÂ°Ã‚Å¸Ã‚ÂÃ‚Â» https://t.co/oM9TgJ9WsI [RE ShinShironaga],Demografi,rt ga afdol rasanya kalo nonton desak anies ga bawa uchiwanya   ,rt ga afdol kalo nonton desak anies ga bawa uchiwanya,53,tl
@yfK5TBoYLChQhlvC0PMTTWM6XrTpK9ijtRQd/a1dIh8= @8ofeOoXxsmzWN9wrPkB9p0cd6twbt5Oz9NJIDlKz4OE= @V8LmkMby3ivowZjBWwRPlgUfD9reDQR3yQJhEozQO8Y= @ed7l0kdN4rD+zEQ002BbSb/Nzo39Mr1Mt4VFFXPqU7s= @En/e8e0FqH4SUE/KdePPTK/LEzHvxg2G3PXGolDU0D8= Bangga-banggain punya Nik,Sumber Daya Alam,     banggabanggain punya nik,banggabanggain nik,18,tl
"RT Prabowo Tegaskan, Pemimpin itu Harus ÃƒÂ¢Ã‚â‚¬Ã‚Å“ing ngarso sung tulodoÃƒÂ¢Ã‚â‚¬Ã‚Â - Mitanews https://t.co/BLuu7maHcB #MenangSeputaran [RE AzzrielAzaryahu]",Politik,rt prabowo tegaskan pemimpin itu harus ing ngarso sung tulodo  mitanews   ,rt prabowo tegaskan pemimpin ing ngarso sung tulodo mitanews,60,tl
"@VLuSegAC0H75RVXH+ll2jGhAwxtyJQUDlsrawqMmUj8= @vRKWvJjbLtub3KE54VToKeRjK+pYivvgCzz8+Vh7sJc= @59FurDSd1IsBhMlTXphFhA4pr2jqPEvBIM+WqtYFZ7o= @abjbIwmAzNWfghsN1PdxV1RWUro2b/HctHxRDPQBB/0= Mas Fadli..Mas Fadli.. biar gak cuma omon omon doang, kalo emang punya",Sumber Daya Alam,    mas fadlimas fadli biar gak cuma omon omon doang kalo emang punya,mas fadlimas fadli biar gak omon omon doang kalo emang,54,tl
RT Kampanye Pak Anies Baswedan di Sorong Papua Makin optimis AMIN No 1 menang ÃƒÂ°Ã‚Å¸Ã‚â€™Ã‚Âª https://t.co/zb1t3nT6cC [RE Mdy_Asmara1701],Politik,rt kampanye pak anies baswedan di sorong papua makin optimis amin no  menang   ,rt kampanye anies baswedan sorong papua optimis amin no menang,62,tl
"Golkar, PAN, PKB Nyatakan Usung Prabowo Bacapres 2024 https://t.co/Aw6wiEW0yX",Politik,golkar pan pkb nyatakan usung prabowo bacapres  ,golkar pan pkb nyatakan usung prabowo bacapres,46,tl
RT prabowo thrifting alutsista di mana yaa? pasar santa kali yaa? coba saya search ÃƒÂ¢Ã‚â‚¬Ã‚Å“prabowo santaÃƒÂ¢Ã‚â‚¬Ã‚Â ahÃƒÂ¢Ã‚â‚¬Ã‚Â¦ [RE faireuse],Politik,rt prabowo thrifting alutsista di mana yaa pasar santa kali yaa coba saya search prabowo santa ah ,rt prabowo thrifting alutsista yaa pasar santa kali yaa coba search prabowo santa ah,84,tl
@w48jvMckscxkx8iK1bmKxkYMGlF5qdzOU10ncVJFc1c= Gamungkin banget 02 punya rasa peduli sama lingkungan coba tanya Prabowo food estate gimana,Sumber Daya Alam, gamungkin banget  punya rasa peduli sama lingkungan coba tanya prabowo food estate gimana,gamungkin banget peduli lingkungan coba prabowo food estate gimana,66,tl
"@ye0JbwmcE1h7dFQK9qwvF+vT9grqKqwozxEWj2MzE34= @E5pj9ASCqoSbd6iRAxZMpQTAtSz1B/ZxGRkm+2YCjew= @V+XpWaQm3JlclMv1/9lqeGZwO/c2lIANDZgd4D/RchA= @XNQq+fVdYEBsoFmW1njiiVt1NA+t6dyAcUF92zmajTA= @Um70oxfjJ58O/2zwJTp4J+nBbuvngjn8iqLY6QiBG54= Oiya, kak km bisa cek pul",Geografi,     oiya kak km bisa cek pul,oiya kak km cek pul,19,tl
