IDText,Text,clean_text,processed_text,text_length,predicted_label
TXT0001,"Lu mau org2 pro-demokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo?

- Pilih AMIN, tpi jangan pilih PKS, pilih Partai Buruh
- Jangan pilih Prabowo dan semua partai pengusungnya
- Pilih GAMA, tpi jangan pilih PDIP, pilih Partai Buruh [RE debordsbitch]","lu mau org prodemokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo

 pilih amin tpi jangan pilih pks pilih partai buruh
 jangan pilih prabowo dan semua partai pengusungnya
 pilih gama tpi jangan pilih pdip pilih partai buruh ",lu org prodemokrasi negara kesempatan ngelawan oligarki indo pilih amin tpi pilih pks pilih partai buruh pilih prabowo partai pengusungnya pilih gama tpi pilih pdip pilih partai buruh,183,Politik
TXT0002,"Prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri Indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter 1997 saat Orde Baru.

Dibantah Ganjar hutang luar negeri demi infrastruktur bisa berbahaya. 
(BTW bajunya Ganjar matching dengan tema debat)

Anies menegaskan normal hutang luar negeri yg aman tak lebih dari 30% GDP. Hutang dipakai Menhan membeli alutsista bekas adalah suatu kesia-siaan.

Prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar. [RE mazzini_gsp]","prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter  saat orde baru

dibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya 
btw bajunya ganjar matching dengan tema debat

anies menegaskan normal hutang luar negeri yg aman tak lebih dari  gdp hutang dipakai menhan membeli alutsista bekas adalah suatu kesiasiaan

prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar ",prabowo hutang negeri hutang negeri indonesia terhitung rendah khawatir intervensi asing akibat hutang krisis moneter orde dibantah ganjar hutang negeri infrastruktur berbahaya btw bajunya ganjar matching tema debat anies normal hutang negeri yg aman gdp hutang dipakai menhan membeli alutsista bekas kesiasiaan prabowo merespon alutsista bekas membeli uang yg dikeluarkan,372,Politik
TXT0003,"kiki_daliyo  Ganjar Pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua #GanjarMerawatPancasila

 #Mahfud Hebat #MahfudLebihBaik3 #GanjarMahfud2024 #3MandatGanjarMahfud #L3bihbaik Happy New Year",kikidaliyo  ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua   hebat     happy new year,kikidaliyo ganjar pranowo beliau sosok mengagunhkan nilai nilai pancasila kesadaran yg hebat happy new year,107,Politik
TXT0004,@kumparan Prabowo Gibran yang bisa melakukan itu semua demi kesejahteraan rakyat, prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat,prabowo gibran kesejahteraan rakyat,35,Politik
TXT0005,"@sniperruben45 @uda_zulhendra @ainunnajib Lah justru yg gak nyambung junjungan elu aomkmkmkmk

Ngomongin etika tapi ngatain Pak Anies omon omon sambil nyenyek tuh gimana? ÃƒÂ°Ã‚Å¸Ã‚Â¤Ã‚Â£ Pak Anies masih sopan lho, gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang 50% atau nyuruh belajar ekonomi lagi.","   lah justru yg gak nyambung junjungan elu aomkmkmkmk

ngomongin etika tapi ngatain pak anies omon omon sambil nyenyek tuh gimana  pak anies masih sopan lho gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang  atau nyuruh belajar ekonomi lagi",yg gak nyambung junjungan elu aomkmkmkmk ngomongin etika ngatain anies omon omon nyenyek tuh gimana anies sopan lho gak ngakak brutal pasang wajah mengejek asbun hutang nyuruh belajar ekonomi,191,Politik
TXT0006,"Nelayan tak bisa terus terjebak dalam kredit macet. Oleh karena itu, Ganjar Pranowo, Mahfud MD, bersama kita buka pintu kebebasan! #NelayanKebebasan #GanjarPranowoPilihanUmat #GanjarMahfudRebound #JNK https://t.co/0B2yVv4iuL",nelayan tak bisa terus terjebak dalam kredit macet oleh karena itu ganjar pranowo mahfud md bersama kita buka pintu kebebasan     ,nelayan terjebak kredit macet ganjar pranowo mahfud md buka pintu kebebasan,75,Politik
TXT0007,"Prabowo anti kebebasan pers

https://t.co/7SNrs5rs4Z","prabowo anti kebebasan pers

",prabowo anti kebebasan pers,27,Politik
TXT0008,"Kontrak terbuka Ganjar Pranowo adalah cermin dari kepedulian untuk kita semua. Yuk, bersama jaga kedaulatan pangan!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/SPFC60u1Eg",kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua yuk bersama jaga kedaulatan pangan   ,kontrak terbuka ganjar pranowo cermin kepedulian yuk jaga kedaulatan pangan,75,Politik
TXT0009,ÃƒÂ°Ã‚Å¸Ã‚ÂÃ‚Â½  Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfud2024 Pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika Ganjar Mahfud Hebat #3GM #Coblos3 https://t.co/SroCBsEg8W,  ganjar mahfud hebat    pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat   ,ganjar mahfud hebat ganjar menjungjung toleransi menerapkan bhineka tunggal ika ganjar mahfud hebat,99,Politik
TXT0010,"Ganjar-Mahfud adalah harapan baru untuk pertumbuhan ekonomi kita. @Almonded3 Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/xrKPiHj5YC","ganjarmahfud adalah harapan baru untuk pertumbuhan ekonomi kita  happy new year 
 ",ganjarmahfud harapan pertumbuhan ekonomi happy new year,55,Politik
